estudo_id,autor_ano,ano,algoritmo,acuracia,n_amostral,variancia
Liesenberg2012122,Liesenberg2012122_2012,2012,SVM,85.0,100,12.750000000000002
Keoboualapha2013383,Keoboualapha2013383_2013,2013,Other,92.1,100,7.275900000000008
Heinimann2017,Heinimann2017_2017,2017,Other,87.0,100,11.309999999999997
Al-Shidi2018,Al-Shidi2018_2018,2018,Other,88.2,100,10.4076
Kurien2019,Kurien2019_2019,2019,Other,80.0,100,16.0
Das2021,Das2021_2021,2021,Decision Tree,85.0,100,12.750000000000002
Rakotomalala2021107,Rakotomalala2021107_2021,2021,Other,90.0,100,9.0
Rufin2022,Rufin2022_2022,2022,Random Forest,88.6,100,10.10040000000001
Rizvi202411865,Rizvi202411865_2024,2024,Deep Learning,98.0,100,1.9600000000000015
Bhat2024,Bhat2024_2024,2024,Random Forest,83.08,100,14.057135999999998
Shome2025,Shome2025_2025,2025,Deep Learning,89.43,100,9.452750999999992
Sims2025,Sims2025_2025,2025,Deep Learning,90.5,100,8.597499999999998
Ni2025471,Ni2025471_2025,2025,Deep Learning,93.24,100,6.303024000000009
Xiao2025573,Xiao2025573_2025,2025,Deep Learning,95.3,100,4.479100000000003
Tamang2025,Tamang2025_2025,2025,Neural Network,87.54,100,10.907483999999997
Jiang2025,Jiang2025_2025,2025,SVM,85.0,100,12.750000000000002
