estudo_id,autor_ano,ano,algoritmo,produto,regiao,doi_disponivel,metadados_ricos,dados_repositorio,tipo_repositorio,dados_suplementares,formato_padrao,vocabulario_controlado,licenca_clara,codigo_disponivel,documentacao_metodo,blockchain,api_disponivel,score_f,score_a,score_i,score_r,score_fair,classificacao_fair,compliant
1,Study1_2018,2022,Neural Network,Chá,Europa,Sim,Parcial,Não,NA,Não,Não,Não,Não,Parcial,Insuficiente,Não,Não,17,0,0,5,22,Insuficiente,Não
2,Study2_2018,2021,XGBoost,Azeite,Europa,Sim,Sim,Não,NA,Não,Sim,Não,Não,Não,Parcial,Não,Não,25,0,15,3,43,Moderado,Não
3,Study3_2023,2019,Neural Network,Café,América do Sul,Sim,Não,Não,NA,Não,Sim,Não,Não,Não,Insuficiente,Não,Não,10,0,15,0,25,Moderado,Não
4,Study4_2024,2021,SVM,Vinho,Europa,Sim,Não,Não,NA,Não,Sim,Não,Não,Não,Parcial,Não,Não,10,0,15,3,28,Moderado,Não
5,Study5_2016,2025,SVM,Vinho,Europa,Sim,Sim,Não,NA,Não,Sim,Não,Não,Parcial,Completa,Não,Não,25,0,15,12,52,Bom,Sim
6,Study6_2010,2011,SVM,Vinho,América do Sul,Sim,Não,Não,NA,Não,Sim,Não,Não,Não,Parcial,Não,Não,10,0,15,3,28,Moderado,Não
7,Study7_2019,2019,Random Forest,Chá,Europa,Sim,Parcial,Não,NA,Não,Sim,Não,Sim,Não,Completa,Sim,Não,17,0,15,15,47,Moderado,Não
8,Study8_2024,2024,SVM,Vinho,Europa,Sim,Parcial,Não,NA,Não,Sim,Não,Não,Não,Insuficiente,Não,Não,17,0,15,0,32,Moderado,Não
9,Study9_2022,2020,SVM,Queijo,Europa,Sim,Parcial,Não,NA,Não,Não,Não,Não,Sim,Completa,Não,Não,17,0,0,17,34,Moderado,Não
10,Study10_2021,2018,Random Forest,Mel,Ásia,Sim,Não,Não,NA,Não,Sim,Não,Não,Não,Insuficiente,Não,Não,10,0,15,0,25,Moderado,Não
11,Study11_2020,2021,Random Forest,Mel,Europa,Sim,Não,Não,NA,Não,Não,Não,Não,Parcial,Insuficiente,Não,Não,10,0,0,5,15,Insuficiente,Não
12,Study12_2015,2014,Random Forest,Chá,Europa,Sim,Parcial,Não,NA,Sim,Não,Não,Não,Não,Insuficiente,Sim,Não,17,10,0,0,27,Moderado,Não
13,Study13_2012,2011,Neural Network,Café,América do Sul,Sim,Parcial,Sim,Zenodo,Sim,Sim,Não,Sim,Parcial,Parcial,Sim,Não,17,25,15,16,73,Bom,Sim
14,Study14_2025,2025,SVM,Café,Europa,Sim,Parcial,Sim,Zenodo,Não,Não,Não,Não,Não,Parcial,Não,Não,17,15,0,3,35,Moderado,Não
15,Study15_2012,2012,SVM,Vinho,Ásia,Sim,Parcial,Não,NA,Sim,Sim,Não,Não,Não,Insuficiente,Não,Não,17,10,15,0,42,Moderado,Não
16,Study16_2025,2020,Deep Learning,Chá,Europa,Sim,Sim,Sim,Institucional,Não,Sim,Não,Não,Não,Completa,Não,Não,25,15,15,7,62,Bom,Sim
17,Study17_2018,2023,Random Forest,Café,Ásia,Sim,Parcial,Não,NA,Não,Não,Não,Não,Sim,Parcial,Não,Não,17,0,0,13,30,Moderado,Não
18,Study18_2025,2010,SVM,Chá,Europa,Sim,Não,Não,NA,Sim,Não,Não,Não,Parcial,Insuficiente,Não,Não,10,10,0,5,25,Moderado,Não
19,Study19_2012,2024,PLS-DA,Café,Europa,Sim,Não,Não,NA,Não,Não,Não,Não,Não,Parcial,Não,Não,10,0,0,3,13,Insuficiente,Não
20,Study20_2012,2017,Random Forest,Chá,Europa,Sim,Não,Não,NA,Sim,Não,Não,Não,Sim,Parcial,Não,Não,10,10,0,13,33,Moderado,Não
21,Study21_2011,2022,Neural Network,Vinho,Ásia,Sim,Parcial,Sim,Mendeley Data,Não,Não,Não,Não,Não,Completa,Sim,Não,17,15,0,7,39,Moderado,Não
22,Study22_2013,2020,SVM,Mel,Europa,Sim,Não,Não,NA,Não,Sim,Sim,Não,Não,Insuficiente,Não,Não,10,0,25,0,35,Moderado,Não
23,Study23_2024,2025,Random Forest,Queijo,Europa,Sim,Parcial,Não,NA,Não,Não,Não,Não,Não,Parcial,Não,Não,17,0,0,3,20,Insuficiente,Não
24,Study24_2021,2010,Random Forest,Mel,Europa,Sim,Parcial,Não,NA,Sim,Sim,Não,Não,Não,Parcial,Não,Não,17,10,15,3,45,Moderado,Não
25,Study25_2024,2020,Neural Network,Café,América do Sul,Sim,Não,Não,NA,Não,Não,Sim,Não,Não,Parcial,Não,Não,10,0,10,3,23,Insuficiente,Não
26,Study26_2014,2018,Neural Network,Vinho,Ásia,Sim,Não,Não,NA,Não,Sim,Não,Não,Parcial,Insuficiente,Sim,Não,10,0,15,5,30,Moderado,Não
27,Study27_2020,2017,Random Forest,Vinho,Europa,Sim,Parcial,Não,NA,Não,Sim,Não,Não,Não,Completa,Não,Não,17,0,15,7,39,Moderado,Não
28,Study28_2010,2010,Neural Network,Chá,Ásia,Sim,Não,Não,NA,Não,Sim,Não,Não,Não,Parcial,Não,Não,10,0,15,3,28,Moderado,Não
29,Study29_2023,2018,SVM,Mel,Ásia,Não,Parcial,Não,NA,Não,Sim,Não,Não,Não,Insuficiente,Não,Não,7,0,15,0,22,Insuficiente,Não
30,Study30_2021,2016,Deep Learning,Mel,Europa,Sim,Não,Não,NA,Não,Sim,Não,Não,Sim,Parcial,Não,Não,10,0,15,13,38,Moderado,Não
31,Study31_2010,2013,SVM,Vinho,Europa,Sim,Não,Não,NA,Sim,Não,Não,Não,Sim,Completa,Sim,Não,10,10,0,17,37,Moderado,Não
32,Study32_2022,2025,Random Forest,Mel,América do Sul,Sim,Sim,Não,NA,Não,Sim,Não,Não,Não,Parcial,Não,Não,25,0,15,3,43,Moderado,Não
