indicador,n_sim,percentual,gap,indicador_en
Metadados ricos,181,97.31182795698925,2.688172043010752,Rich metadata
Licença clara,12,6.451612903225806,93.54838709677419,Clear license
Blockchain,3,1.6129032258064515,98.38709677419355,Blockchain
Código disponível,2,1.0752688172043012,98.9247311827957,Code available
Dados em repositório,2,1.0752688172043012,98.9247311827957,Data in repository
Documentação completa,2,1.0752688172043012,98.9247311827957,Complete documentation
Vocabulário controlado,1,0.5376344086021506,99.46236559139786,Controlled vocabulary
DOI disponível,0,0.0,100.0,DOI available
Formato padrão,0,0.0,100.0,Standard format
Dados suplementares,0,0.0,100.0,Supplementary data
API disponível,0,0.0,100.0,API available
