"ID","Algoritmo","Instrumento","Produto","Aplicacao","Regiao","Periodo"
1,"Outros","Outros","Outros","OriginDetection","Global","2020-2025"
2,"RandomForest","Outros","Outros","Outros","Asia","2020-2025"
3,"RandomForest","Outros","Honey","Classification","Asia","2020-2025"
4,"Outros","Outros","Honey","Outros","Asia","2020-2025"
5,"RandomForest","Outros","Outros","Classification","Global","2020-2025"
6,"Outros","Outros","Outros","Outros","Asia","2010-2014"
7,"RandomForest","Sensor","Outros","Classification","Asia","2020-2025"
8,"Outros","Sensor","Outros","Outros","Global","2020-2025"
9,"RandomForest","Outros","Outros","Classification","Asia","2020-2025"
10,"Outros","Outros","Outros","Outros","Global","2020-2025"
11,"Outros","Outros","Outros","QualityControl","Global","2015-2019"
12,"Outros","Outros","Outros","Outros","Global","2015-2019"
13,"Outros","Outros","Outros","Outros","Global","2010-2014"
14,"SVM","Sensor","Outros","Outros","Global","2020-2025"
15,"NeuralNetwork","Outros","Outros","Classification","Global","2015-2019"
16,"Outros","Outros","Tea","Outros","Global","2015-2019"
17,"Outros","Outros","Outros","Outros","Europe","2010-2014"
18,"Outros","Outros","Outros","Classification","Asia","2015-2019"
19,"Outros","Outros","Outros","Outros","Global","2020-2025"
20,"Outros","Outros","Honey","Outros","Global","2015-2019"
21,"Outros","Outros","Coffee","Outros","Global","2010-2014"
22,"Outros","Outros","Outros","Outros","Global","2010-2014"
23,"NeuralNetwork","Outros","Tea","OriginDetection","Global","2020-2025"
24,"Outros","Outros","Outros","Outros","Global","2020-2025"
25,"Outros","Outros","Honey","Classification","Americas","2015-2019"
26,"Outros","NIR","Outros","Classification","Global","2010-2014"
27,"Outros","Outros","Outros","Outros","Asia","2010-2014"
28,"Outros","Outros","Outros","Outros","Global","2020-2025"
29,"RandomForest","Outros","Outros","Outros","Americas","2020-2025"
30,"NeuralNetwork","Outros","Outros","Outros","Americas","2015-2019"
31,"Outros","Outros","Honey","Classification","Asia","2015-2019"
32,"NeuralNetwork","Outros","Outros","OriginDetection","Asia","2015-2019"
33,"NeuralNetwork","Outros","Outros","Outros","Global","2020-2025"
34,"RandomForest","Outros","Honey","Outros","Asia","2020-2025"
35,"RandomForest","Outros","Outros","Outros","Asia","2020-2025"
36,"NeuralNetwork","Outros","Honey","Classification","Global","2020-2025"
37,"Outros","Outros","Outros","Outros","Asia","2020-2025"
38,"Outros","Outros","Outros","Outros","Europe","2015-2019"
39,"Outros","Outros","Outros","Outros","Europe","2015-2019"
40,"Outros","Outros","Outros","OriginDetection","Global","2010-2014"
41,"Outros","Outros","Outros","Classification","Asia","2010-2014"
42,"NeuralNetwork","Outros","Outros","Outros","Europe","2020-2025"
43,"Outros","Outros","Outros","OriginDetection","Global","2020-2025"
44,"NeuralNetwork","Outros","Honey","Outros","Global","2020-2025"
45,"Outros","Outros","Outros","Outros","Global","2015-2019"
46,"Outros","Outros","Outros","Outros","Asia","2015-2019"
47,"Outros","Outros","Outros","Classification","Asia","2015-2019"
48,"Outros","Sensor","Outros","Outros","Asia","2015-2019"
49,"Outros","Outros","Tea","Outros","Americas","2015-2019"
50,"Outros","Outros","Outros","Outros","Global","2015-2019"
51,"Outros","Outros","Outros","OriginDetection","Americas","2010-2014"
52,"SVM","Outros","Outros","Classification","Global","2020-2025"
53,"DecisionTree","Outros","Outros","Outros","Asia","2020-2025"
54,"NeuralNetwork","Outros","Honey","QualityControl","Global","2020-2025"
55,"NeuralNetwork","Outros","Outros","Classification","Global","2020-2025"
56,"Outros","Outros","Outros","Outros","Global","2020-2025"
57,"Outros","Outros","Outros","Classification","Asia","2015-2019"
58,"DecisionTree","Outros","Wine","Classification","Global","2015-2019"
59,"NeuralNetwork","Outros","Outros","Authentication","Americas","2020-2025"
60,"Outros","Outros","Outros","Classification","Americas","2015-2019"
61,"Outros","Outros","Outros","Outros","Europe","2010-2014"
62,"Outros","Outros","Coffee","Outros","Global","2010-2014"
63,"Outros","Outros","Outros","Outros","Asia","2010-2014"
64,"NeuralNetwork","Outros","Outros","Classification","Global","2020-2025"
65,"RandomForest","Outros","Outros","Classification","Asia","2020-2025"
66,"Outros","Outros","Outros","QualityControl","Global","2020-2025"
67,"Outros","Outros","Honey","Outros","Global","2020-2025"
68,"RandomForest","Outros","Outros","Outros","Global","2020-2025"
69,"NeuralNetwork","Sensor","Honey","Outros","Americas","2020-2025"
70,"NeuralNetwork","Outros","Outros","Outros","Global","2020-2025"
71,"RandomForest","Outros","Outros","QualityControl","Americas","2020-2025"
72,"DecisionTree","Outros","Outros","Classification","Asia","2020-2025"
73,"Outros","Outros","Outros","QualityControl","Asia","2015-2019"
74,"Outros","Outros","Outros","Classification","Global","2015-2019"
75,"Outros","Outros","Outros","QualityControl","Asia","2015-2019"
76,"Outros","Outros","Outros","Outros","Global","2015-2019"
77,"Outros","Sensor","Outros","Classification","Global","2015-2019"
78,"RandomForest","Outros","Outros","Outros","Global","2015-2019"
79,"Outros","Outros","Outros","Classification","Global","2010-2014"
80,"Outros","Outros","Outros","Outros","Americas","2010-2014"
81,"Outros","Outros","Outros","Classification","Global","2010-2014"
82,"Outros","NIR","Outros","Outros","Global","2020-2025"
83,"Outros","Outros","Outros","Classification","Global","2010-2014"
84,"NeuralNetwork","Outros","Outros","Outros","Global","2020-2025"
85,"NeuralNetwork","Outros","Outros","Classification","Asia","2020-2025"
86,"NeuralNetwork","Outros","Outros","Classification","Asia","2020-2025"
87,"NeuralNetwork","Outros","Outros","Authentication","Americas","2020-2025"
88,"NeuralNetwork","Sensor","Honey","Classification","Global","2015-2019"
89,"Outros","Outros","Olive","Classification","Global","2010-2014"
