ID,Ano,Periodo,Algoritmo,Evidencia,Contexto,Aplicacao,Regiao
1,2025,2020-25,Other,RemoteSensing,Swidden,LULC,Global
2,2023,2020-25,RandomForest,Other,Swidden,LULC,Global
3,2025,2020-25,RandomForest,Satellite,Swidden,LULC,Global
5,2024,2020-25,DeepLearning,Other,SAT-General,Classification,Europe
6,2010,2010-14,Other,Hybrid,Swidden,LULC,Global
7,2023,2020-25,DeepLearning,Hyperspectral,Swidden,LULC,Global
8,2023,2020-25,Other,Hybrid,Swidden,Other,Global
9,2024,2020-25,RandomForest,Hybrid,Swidden,LULC,Global
10,2024,2020-25,Other,Satellite,Swidden,LULC,Global
11,2019,2015-19,Other,Other,Biocultural,LULC,Americas
12,2017,2015-19,Other,Hybrid,Swidden,LULC,Europe
13,2012,2010-14,Other,Hybrid,Swidden,LULC,Americas
14,2022,2020-25,SVM,Satellite,SAT-General,Soil,Europe
15,2019,2015-19,DeepLearning,RemoteSensing,SAT-General,Classification,Asia
17,2015,2015-19,Other,TimeSeries,Biocultural,LULC,Global
18,2018,2015-19,Other,Hybrid,Swidden,LULC,Global
19,2023,2020-25,Regression,Hybrid,Swidden,LULC,Global
20,2019,2015-19,Other,RemoteSensing,TraditionalSystem,LULC,Asia
22,2011,2010-14,Other,Hybrid,Swidden,LULC,Global
24,2024,2020-25,Other,UAV,SAT-General,Other,Americas
25,2017,2015-19,Other,Hybrid,Swidden,LULC,Europe
26,2013,2010-14,Other,Satellite,Swidden,LULC,Global
27,2013,2010-14,Other,RemoteSensing,Swidden,LULC,Global
28,2024,2020-25,Other,Other,SAT-General,Soil,Asia
29,2021,2020-25,RandomForest,Other,Swidden,LULC,Global
30,2019,2015-19,DeepLearning,Other,SAT-General,Mapping,Global
31,2019,2015-19,Other,Hybrid,Swidden,LULC,Global
32,2017,2015-19,Other,TimeSeries,Swidden,Deforestation,Asia
33,2024,2020-25,DeepLearning,Other,SAT-General,Other,Asia
34,2025,2020-25,DeepLearning,Other,SAT-General,Yield,Global
35,2025,2020-25,DeepLearning,GIS,Swidden,Other,Global
36,2024,2020-25,DeepLearning,UAV,SAT-General,Soil,Asia
37,2024,2020-25,Other,Hybrid,Swidden,LULC,Asia
39,2017,2015-19,Other,RemoteSensing,Biocultural,LULC,Europe
40,2015,2015-19,Other,RemoteSensing,Swidden,LULC,Americas
41,2013,2010-14,Other,Hybrid,Swidden,LULC,Asia
42,2025,2020-25,DeepLearning,Satellite,Swidden,LULC,Americas
43,2023,2020-25,Other,RemoteSensing,Swidden,LULC,Europe
44,2021,2020-25,DeepLearning,Hybrid,SAT-General,Yield,Global
45,2020,2020-25,Other,RemoteSensing,Agroforestry,Soil,Americas
46,2020,2020-25,Other,RemoteSensing,TraditionalSystem,LULC,Asia
47,2019,2015-19,Other,Satellite,Swidden,LULC,Asia
48,2018,2015-19,Other,TimeSeries,Swidden,Other,Asia
50,2020,2020-25,Other,RemoteSensing,Agroforestry,Soil,Global
51,2012,2010-14,Other,Satellite,Swidden,LULC,Asia
52,2025,2020-25,SVM,Hybrid,Swidden,LULC,Asia
53,2024,2020-25,DecisionTree,TimeSeries,SAT-General,Soil,Asia
54,2023,2020-25,DeepLearning,Other,SAT-General,Yield,Global
55,2022,2020-25,DeepLearning,Other,SAT-General,Classification,Asia
57,2020,2020-25,Other,Hybrid,Swidden,LULC,Asia
59,2023,2020-25,DeepLearning,UAV,SAT-General,Yield,Global
60,2017,2015-19,Other,Hybrid,Swidden,LULC,Americas
61,2013,2010-14,Other,Satellite,SAT-General,Mapping,Global
63,2010,2010-14,Other,RemoteSensing,Swidden,LULC,Global
65,2025,2020-25,RandomForest,TimeSeries,SAT-General,LULC,Asia
66,2023,2020-25,Other,Hybrid,Swidden,LULC,Global
67,2022,2020-25,Other,Hybrid,Swidden,Mapping,Asia
68,2022,2020-25,RandomForest,Hybrid,Swidden,LULC,Europe
69,2022,2020-25,DeepLearning,Hybrid,Swidden,Deforestation,Global
70,2022,2020-25,Other,Other,SAT-General,Other,Asia
71,2021,2020-25,RandomForest,RemoteSensing,Swidden,LULC,Global
72,2021,2020-25,DecisionTree,Hybrid,Swidden,LULC,Global
73,2020,2020-25,Other,Hybrid,Swidden,LULC,Asia
